# https://chainz.cryptoid.info/ and whois results
# CannabisCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
105.226.89.54|/Cannabiscoin:0.13.1/|70019|37457|105.226.0.0/16|ZA|afrinic|2012-11-16|Telkom-Internet, ZA
108.247.106.138|/Cannabiscoin:0.13.1/|70019|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
116.202.251.195|/Cannabiscoin:0.8.9/|70017|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
136.24.44.100|/Cannabiscoin:0.13.1/|70019|19165|136.24.0.0/16|US|arin|2016-10-31|WEBPASS, US
137.135.18.91|/Cannabiscoin:0.13.1/|70019|8075|137.135.0.0/16|US|arin|2011-06-22|MICROSOFT-CORP-MSN-AS-BLOCK, US
138.68.243.35|/Cannabiscoin:0.13.1/|70019|14061|138.68.240.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
138.68.254.94|/Cannabiscoin:0.13.0/|70018|14061|138.68.240.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
14.11.162.225|/Cannabiscoin:0.13.1/|70019|2516|14.10.0.0/15|JP|apnic|2010-08-17|KDDI KDDI CORPORATION, JP
143.178.232.181|/Cannabiscoin:0.13.1/|70019|50266|143.178.128.0/17|NL|ripencc|1990-10-01|TMOBILE-THUIS, NL
144.91.77.184|/Cannabiscoin:0.13.1/|70019|51167|144.91.76.0/23|DE|ripencc|1990-11-20|CONTABO, DE
145.81.176.243|/Cannabiscoin:0.13.1/|70019|1103|145.81.0.0/16|NL|ripencc|1993-09-01|SURFNET-NL SURFnet, The Netherlands, NL
151.231.31.108|/Satoshi:0.8.7/|70014|5607|151.224.0.0/13|GB|ripencc|2012-08-09|BSKYB-BROADBAND-AS, GB
166.177.123.226|/Cannabiscoin:0.13.1/|70019|20057|166.177.120.0/22|US|arin|1993-07-09|ATT-MOBILITY-LLC-AS20057, US
172.112.153.22|/Cannabiscoin:0.13.1/|70019|20001|172.112.0.0/13|US|arin|2015-06-19|TWC-20001-PACWEST, US
172.127.123.113|/Cannabiscoin:0.13.1/|70019|7018|172.124.0.0/14|US|arin|2015-07-06|ATT-INTERNET4, US
172.58.99.120|/Cannabiscoin:0.13.1/|70019|21928|172.58.96.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
176.230.70.114|/Cannabiscoin:0.13.1/|70019|12400|176.230.0.0/16|IL|ripencc|2011-12-01|PARTNER-AS, IL
176.27.155.70|/Satoshi:0.8.7/|70014|5607|176.24.0.0/14|GB|ripencc|2011-05-19|BSKYB-BROADBAND-AS, GB
176.63.22.71|/Cannabiscoin:0.13.1/|70019|6830|176.63.0.0/17|HU|ripencc|2011-06-08|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
184.147.145.4|/Cannabiscoin:0.13.1/|70019|577|184.147.0.0/16|CA|arin|2010-04-12|BACOM, CA
186.90.160.228|/Cannabiscoin:0.13.1/|70019|8048|186.90.160.0/19|VE|lacnic|2009-11-18|CANTV Servicios, Venezuela, VE
187.250.32.112|/Cannabiscoin:0.13.1/|70019|8151|187.250.32.0/21|MX|lacnic|2012-06-05|Uninet S.A. de C.V., MX
190.96.1.19|/Cannabiscoin:0.13.1/|70019|18822|190.96.1.0/24|CL|lacnic|2007-07-19|Manquehuenet, CL
192.241.249.252|/Cannabiscoin:0.13.1/|70019|14061|192.241.240.0/20|US|arin|2013-06-10|DIGITALOCEAN-ASN, US
194.171.23.11|/Cannabiscoin:0.13.1/|70019|1103|194.171.0.0/16|NL|ripencc|1995-06-12|SURFNET-NL SURFnet, The Netherlands, NL
212.197.160.92|/Satoshi:0.8.7/|70014|1901|212.197.128.0/18|AT|ripencc|2000-10-13|EUNETAT-AS A1 Telekom Austria AG, AT
212.74.203.236|/Cannabiscoin:0.8.9/|70017|21365|212.74.192.0/19|RU|ripencc|2008-06-18|INTELECA-AS Russia, Barnaul, RU
216.161.135.180|/Cannabiscoin:0.13.1/|70019|209|216.160.0.0/15|US|arin|1998-12-16|CENTURYLINK-US-LEGACY-QWEST, US
217.197.189.193|/Cannabiscoin:0.13.1/|70019|20845|217.197.176.0/20|HU|ripencc|2004-10-25|DIGICABLE, HU
222.252.6.58|/Cannabiscoin:0.13.1/|70019|45899|222.252.0.0/20|VN|apnic|2004-05-18|VNPT-AS-VN VNPT Corp, VN
31.162.202.221|/Cannabiscoin:0.13.1/|70019|12389|31.162.192.0/18|RU|ripencc|2011-02-17|ROSTELECOM-AS, RU
31.165.187.122|/Cannabiscoin:0.13.1/|70019|6730|31.164.0.0/15|CH|ripencc|2011-02-23|SUNRISE, CH
37.247.94.207|/Cannabiscoin:0.13.1/|70019|21413|37.247.64.0/19|DE|ripencc|2012-04-18|ENVIA-TEL-AS D-09114 Chemnitz, DE
39.106.249.79|/Satoshi:0.8.7.1/|70015|37963|39.106.0.0/15|CN|apnic|2011-04-05|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
47.156.134.181|/Cannabiscoin:0.13.1/|70019|5650|47.156.0.0/16|US|arin|2015-08-28|FRONTIER-FRTR, US
47.35.165.35|/Cannabiscoin:0.13.1/|70019|20115|47.35.128.0/18|US|arin|2014-12-23|CHARTER-20115, US
49.228.9.231|/Cannabiscoin:0.13.1/|70019|133481|49.228.8.0/22|TH|apnic|2010-11-25|AIS-FIBRE-AS-AP AIS Fibre, TH
5.13.1.246|/Cannabiscoin:0.13.1/|70019|8708|5.12.0.0/14|RO|ripencc|2012-04-27|RCS-RDS 73-75 Dr. Staicovici, RO
5.188.104.245|???|0|199860|5.188.104.0/23|RU|ripencc|2012-08-09|SDN-AS, RU
51.254.44.206|/Cannabiscoin:0.13.1/|70019|16276|51.254.0.0/15|FR|ripencc|1993-09-01|OVH, FR
51.38.57.53|/Cannabiscoin:0.13.1/|70019|16276|51.38.0.0/16|FR|ripencc|1993-09-01|OVH, FR
52.35.120.22|/Cannabiscoin:0.13.1/|70019|16509|52.32.0.0/14|US|arin|2015-09-02|AMAZON-02, US
66.151.242.154|/Cannabiscoin:0.13.1/|70019|63018|66.151.242.0/24|US|arin|2001-07-13|DEDICATED, US
67.247.20.96|/Cannabiscoin:0.13.1/|70019|12271|67.247.0.0/18|US|arin|2008-02-27|TWC-12271-NYC, US
68.205.204.77|/Cannabiscoin:0.13.1/|70019|33363|68.204.0.0/15|US|arin|2003-01-31|BHN-33363, US
68.47.241.193|/Cannabiscoin:0.13.1/|70019|7922|68.32.0.0/11|US|arin|2001-11-29|COMCAST-7922, US
69.250.88.184|/Cannabiscoin:0.13.1/|70019|7922|69.240.0.0/12|US|arin|2004-02-11|COMCAST-7922, US
70.120.101.31|/Cannabiscoin:0.13.1/|70019|11427|70.120.0.0/17|US|arin|2004-09-17|TWC-11427-TEXAS, US
